Query ID,Precision,Recall,Accuracy,Missed Columns,Extra Columns,Matched Rows,Total Rows
35,0,0,True,0,0,0,0
6,0,0,True,0,0,0,0
81,0,0,True,0,0,0,0
58,0,0,True,0,0,0,0
7,0,0,True,0,0,0,0
56,0,0,True,0,0,0,0
4,0,0,True,0,0,0,0
15,0,0,True,0,0,0,0
19,0,0,True,0,0,0,0
31,0,0,True,0,0,0,0
38,0,0,True,0,0,0,0
53,0,0,True,0,0,0,0
42,0,0,True,0,0,0,0
65,0,0,True,0,0,0,0
61,0,0,True,0,0,0,0
9,0,0,True,0,0,0,0
70,0,0,True,0,0,0,0
77,0,0,True,0,0,0,0
26,0,0,True,0,0,0,0
18,0,0,True,0,0,0,0
69,0,0,True,0,0,0,0
40,0,0,True,0,0,0,0
29,0,0,True,0,0,0,0
23,0,0,True,0,0,0,0
16,0,0,True,0,0,0,0
25,0,0,True,0,0,0,0
